Time (sec), Commanded Roll (deg), Reported Roll (deg), Commanded Altitude MSL (m), Reported Altitude MSL (m), Latitude (deg), Longitude (deg)
2.923,0.0,0.0,0.0,0.0,0.0,0.0
2.948,0.0,0.0,0.0,0.0,0.0,0.0
2.976,0.0,0.0,0.0,0.0,0.0,0.0
3.002,0.0,0.0,0.0,0.0,0.0,0.0
3.028,0.0,0.0,0.0,0.0,0.0,0.0
3.053,0.0,0.0,0.0,0.0,0.0,0.0
3.082,0.0,0.0,0.0,0.0,0.0,0.0
3.107,0.0,0.0,0.0,0.0,0.0,0.0
3.135,0.0,0.0,0.0,0.0,0.0,0.0
3.162,0.0,0.0,0.0,0.0,0.0,0.0
3.191,0.0,0.0,0.0,0.0,0.0,0.0
3.216,0.0,0.0,0.0,0.0,0.0,0.0
3.246,0.0,0.0,0.0,0.0,0.0,0.0
3.271,0.0,0.0,0.0,0.0,0.0,0.0
3.298,0.0,0.0,0.0,0.0,0.0,0.0
3.324,0.0,0.0,0.0,0.0,0.0,0.0
3.352,0.0,0.0,0.0,0.0,0.0,0.0
3.378,0.0,0.0,0.0,0.0,0.0,0.0
3.403,0.0,0.0,0.0,0.0,0.0,0.0
3.432,0.0,0.0,0.0,0.0,0.0,0.0
3.457,0.0,0.0,0.0,0.0,0.0,0.0
3.482,0.0,0.0,0.0,0.0,0.0,0.0
3.507,0.0,0.0,0.0,0.0,0.0,0.0
3.535,0.0,0.0,0.0,0.0,0.0,0.0
3.565,0.0,0.0,0.0,0.0,0.0,0.0
3.593,0.0,0.0,0.0,0.0,0.0,0.0
3.621,0.0,0.0,0.0,0.0,0.0,0.0
3.647,0.0,0.0,0.0,0.0,0.0,0.0
3.676,0.0,0.0,0.0,0.0,0.0,0.0
3.701,0.0,0.0,0.0,0.0,0.0,0.0
3.726,0.0,0.0,0.0,0.0,0.0,0.0
3.751,0.0,0.0,0.0,0.0,0.0,0.0
3.78,0.0,0.0,0.0,0.0,0.0,0.0
3.807,0.0,0.0,0.0,0.0,0.0,0.0
3.832,0.0,0.0,0.0,0.0,0.0,0.0
3.858,0.0,0.0,0.0,0.0,0.0,0.0
3.887,0.0,0.0,0.0,0.0,0.0,0.0
3.916,0.0,0.0,0.0,0.0,0.0,0.0
3.941,0.0,0.0,0.0,0.0,0.0,0.0
3.971,0.0,0.0,0.0,0.0,0.0,0.0
3.999,0.0,0.0,0.0,0.0,0.0,0.0
4.028,0.0,0.0,0.0,0.0,0.0,0.0
4.057,0.0,0.0,0.0,0.0,0.0,0.0
4.086,0.0,0.0,0.0,0.0,0.0,0.0
4.111,0.0,0.0,0.0,0.0,0.0,0.0
4.136,0.0,0.0,0.0,0.0,0.0,0.0
4.163,0.0,0.0,0.0,0.0,0.0,0.0
4.188,0.0,0.0,0.0,0.0,0.0,0.0
4.214,0.0,0.0,0.0,0.0,0.0,0.0
4.243,0.0,0.0,0.0,0.0,0.0,0.0
4.271,0.0,0.0,0.0,0.0,0.0,0.0
4.299,0.0,0.0,0.0,0.0,0.0,0.0
4.327,0.0,0.0,0.0,0.0,0.0,0.0
4.353,0.0,0.0,0.0,0.0,0.0,0.0
4.379,0.0,0.0,0.0,0.0,0.0,0.0
4.404,0.0,0.0,0.0,0.0,0.0,0.0
4.432,0.0,0.0,0.0,0.0,0.0,0.0
4.458,0.0,0.0,0.0,0.0,0.0,0.0
4.483,0.0,0.0,0.0,0.0,0.0,0.0
4.508,0.0,0.0,0.0,0.0,0.0,0.0
4.537,0.0,0.0,0.0,0.0,0.0,0.0
4.565,0.0,0.0,0.0,0.0,0.0,0.0
4.59,0.0,0.0,0.0,0.0,0.0,0.0
4.618,0.0,0.0,0.0,0.0,0.0,0.0
4.647,0.0,0.0,0.0,0.0,0.0,0.0
4.672,0.0,0.0,0.0,0.0,0.0,0.0
4.697,0.0,0.0,0.0,0.0,0.0,0.0
4.722,0.0,0.0,0.0,0.0,0.0,0.0
4.749,0.0,0.0,0.0,0.0,0.0,0.0
4.775,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0,0.0,0.0
4.826,0.0,0.0,0.0,0.0,0.0,0.0
4.851,0.0,0.0,0.0,0.0,0.0,0.0
4.879,0.0,0.0,0.0,0.0,0.0,0.0
4.904,0.0,0.0,0.0,0.0,0.0,0.0
4.929,0.0,0.0,0.0,0.0,0.0,0.0
4.955,0.0,0.0,0.0,0.0,0.0,0.0
4.985,0.0,0.0,0.0,0.0,0.0,0.0
5.012,0.0,0.0,0.0,0.0,0.0,0.0
5.042,0.0,0.0,0.0,0.0,0.0,0.0
5.071,0.0,0.0,0.0,0.0,0.0,0.0
5.098,0.0,0.0,0.0,0.0,0.0,0.0
5.123,0.0,0.0,0.0,0.0,0.0,0.0
5.152,0.0,0.0,0.0,0.0,0.0,0.0
5.179,0.0,0.0,0.0,0.0,0.0,0.0
5.204,0.0,0.0,0.0,0.0,0.0,0.0
5.233,0.0,0.0,0.0,0.0,0.0,0.0
5.258,0.0,0.0,0.0,0.0,0.0,0.0
5.283,0.0,0.0,0.0,0.0,0.0,0.0
5.308,0.0,0.0,0.0,0.0,0.0,0.0
5.334,0.0,0.0,0.0,0.0,0.0,0.0
5.359,0.0,0.0,0.0,0.0,0.0,0.0
5.384,0.0,0.0,0.0,0.0,0.0,0.0
5.412,0.0,0.0,0.0,0.0,0.0,0.0
5.437,0.0,0.0,0.0,0.0,0.0,0.0
5.462,0.0,0.0,0.0,0.0,0.0,0.0
5.487,0.0,0.0,0.0,0.0,0.0,0.0
5.513,0.0,0.0,0.0,0.0,0.0,0.0
5.538,0.0,0.0,0.0,0.0,0.0,0.0
5.566,0.0,0.0,0.0,0.0,0.0,0.0
